A100_16S rRNA;SAMN12249413
A101_16S rRNA;SAMN12249412
A102_16S rRNA;SAMN12249411
A104_16S rRNA;SAMN12249410
A105_16S rRNA;SAMN12249409
A106_16S rRNA;SAMN12249408
A108_16S rRNA;SAMN12249407
A109_16S rRNA;SAMN12249406
A11_16S rRNA;SAMN12249405
A118_16S rRNA;SAMN12249404
A119_16S rRNA;SAMN12249403
A12_16S rRNA;SAMN12249402
A120_16S rRNA;SAMN12249401
A121_16S rRNA;SAMN12249400
A122_16S rRNA;SAMN12249399
A123_16S rRNA;SAMN12249398
A124_16S rRNA;SAMN12249397
A125_16S rRNA;SAMN12249396
A126_16S rRNA;SAMN12249395
A129_16S rRNA;SAMN12249394
A130_16S rRNA;SAMN12249393
A131_16S rRNA;SAMN12249392
A132_16S rRNA;SAMN12249391
A128_16S rRNA;SAMN12249390
A133_16S rRNA;SAMN12249389
A135_16S rRNA;SAMN12249388
A136_16S rRNA;SAMN12249387
A137_16S rRNA;SAMN12249386
A139_16S rRNA;SAMN12249385
A14_16S rRNA;SAMN12249384
A1_16S rRNA;SAMN12249383
A10_16S rRNA;SAMN12249382
B124_16S rRNA;SAMN12249380
B125_16S rRNA;SAMN12249379
B126_16S rRNA;SAMN12249378
B127_16S rRNA;SAMN12249377
B128_16S rRNA;SAMN12249376
B129_16S rRNA;SAMN12249375
B13_16S rRNA;SAMN12249374
B131_16S rRNA;SAMN12249373
B132_16S rRNA;SAMN12249372
B133_16S rRNA;SAMN12249371
B134_16S rRNA;SAMN12249370
B135_16S rRNA;SAMN12249369
B136_16S rRNA;SAMN12249368
B137_16S rRNA;SAMN12249367
A110_16S rRNA;SAMN12249366
A111_16S rRNA;SAMN12249365
A112_16S rRNA;SAMN12249364
A113_16S rRNA;SAMN12249363
A114_16S rRNA;SAMN12249362
A115_16S rRNA;SAMN12249361
A116_16S rRNA;SAMN12249360
A117_16S rRNA;SAMN12249359
A27_16S rRNA;SAMN12249358
A28_16S rRNA;SAMN12249357
A29_16S rRNA;SAMN12249356
A3_16S rRNA;SAMN12249355
A31_16S rRNA;SAMN12249354
A32_16S rRNA;SAMN12249353
A33_16S rRNA;SAMN12249352
A34_16S rRNA;SAMN12249351
A35_16S rRNA;SAMN12249350
A40_16S rRNA;SAMN12249349
A43_16S rRNA;SAMN12249348
A45_16S rRNA;SAMN12249347
A46_16S rRNA;SAMN12249346
A47_16S rRNA;SAMN12249345
A49_16S rRNA;SAMN12249344
A5_16S rRNA;SAMN12249343
B109_16S rRNA;SAMN12249342
B11_16S rRNA;SAMN12249341
B111_16S rRNA;SAMN12249340
B112_16S rRNA;SAMN12249339
B113_16S rRNA;SAMN12249338
B114_16S rRNA;SAMN12249337
B115_16S rRNA;SAMN12249336
B116_16S rRNA;SAMN12249335
B117_16S rRNA;SAMN12249334
B119_16S rRNA;SAMN12249333
B12_16S rRNA;SAMN12249332
B120_16S rRNA;SAMN12249331
B122_16S rRNA;SAMN12249330
B123_16S rRNA;SAMN12249329
B94_16S rRNA;SAMN12249328
B95_16S rRNA;SAMN12249327
B96_16S rRNA;SAMN12249326
B97_16S rRNA;SAMN12249325
B98_16S rRNA;SAMN12249324
B99_16S rRNA;SAMN12249323
A167_16S rRNA;SAMN12249321
A168_16S rRNA;SAMN12249320
A169_16S rRNA;SAMN12249319
A17_16S rRNA;SAMN12249318
A18_16S rRNA;SAMN12249317
A19_16S rRNA;SAMN12249316
A2_16S rRNA;SAMN12249315
A20_16S rRNA;SAMN12249314
A21_16S rRNA;SAMN12249313
A22_16S rRNA;SAMN12249312
A23_16S rRNA;SAMN12249311
A25_16S rRNA;SAMN12249310
A26_16S rRNA;SAMN12249309
A152_16S rRNA;SAMN12249308
A153_16S rRNA;SAMN12249307
A154_16S rRNA;SAMN12249306
A155_16S rRNA;SAMN12249305
A156_16S rRNA;SAMN12249304
A157_16S rRNA;SAMN12249303
A158_16S rRNA;SAMN12249302
A159_16S rRNA;SAMN12249301
A16_16S rRNA;SAMN12249300
A160_16S rRNA;SAMN12249299
A161_16S rRNA;SAMN12249298
A162_16S rRNA;SAMN12249297
A163_16S rRNA;SAMN12249296
A164_16S rRNA;SAMN12249295
A165_16S rRNA;SAMN12249294
A166_16S rRNA;SAMN12249293
B74_16S rRNA;SAMN12249292
B75_16S rRNA;SAMN12249291
B77_16S rRNA;SAMN12249290
B79_16S rRNA;SAMN12249289
B8_16S rRNA;SAMN12249288
B80_16S rRNA;SAMN12249287
B81_16S rRNA;SAMN12249286
B82_16S rRNA;SAMN12249285
B85_16S rRNA;SAMN12249284
B86_16S rRNA;SAMN12249283
B87_16S rRNA;SAMN12249282
B88_16S rRNA;SAMN12249281
B9_16S rRNA;SAMN12249280
B91_16S rRNA;SAMN12249279
B92_16S rRNA;SAMN12249278
B21_16S rRNA;SAMN12249277
B22_16S rRNA;SAMN12249276
B23_16S rRNA;SAMN12249275
B24_16S rRNA;SAMN12249274
B25_16S rRNA;SAMN12249273
B26_16S rRNA;SAMN12249272
B27_16S rRNA;SAMN12249271
B28_16S rRNA;SAMN12249270
B29_16S rRNA;SAMN12249269
B3_16S rRNA;SAMN12249267
B30_16S rRNA;SAMN12249266
B31_16S rRNA;SAMN12249265
B34_16S rRNA;SAMN12249264
B35_16S rRNA;SAMN12249263
B36_16S rRNA;SAMN12249262
B37_16S rRNA;SAMN12249261
B39_16S rRNA;SAMN12249260
B4_16S rRNA;SAMN12249259
B40_16S rRNA;SAMN12249258
B42_16S rRNA;SAMN12249257
A140_16S rRNA;SAMN12249256
A141_16S rRNA;SAMN12249255
A142_16S rRNA;SAMN12249254
A143_16S rRNA;SAMN12249253
A144_16S rRNA;SAMN12249252
A145_16S rRNA;SAMN12249251
A146_16S rRNA;SAMN12249250
A147_16S rRNA;SAMN12249249
A148_16S rRNA;SAMN12249248
A149_16S rRNA;SAMN12249247
A150_16S rRNA;SAMN12249246
A151_16S rRNA;SAMN12249245
B151_16S rRNA;SAMN12249244
B152_16S rRNA;SAMN12249243
B153_16S rRNA;SAMN12249242
B154_16S rRNA;SAMN12249241
B155_16S rRNA;SAMN12249240
B156_16S rRNA;SAMN12249239
B157_16S rRNA;SAMN12249238
B158_16S rRNA;SAMN12249237
B159_16S rRNA;SAMN12249236
B16_16S rRNA;SAMN12249235
B160_16S rRNA;SAMN12249234
B161_16S rRNA;SAMN12249233
B162_16S rRNA;SAMN12249232
B163_16S rRNA;SAMN12249231
B164_16S rRNA;SAMN12249230
B165_16S rRNA;SAMN12249229
B166_16S rRNA;SAMN12249228
B17_16S rRNA;SAMN12249227
B18_16S rRNA;SAMN12249226
B19_16S rRNA;SAMN12249225
B2_16S rRNA;SAMN12249224
B20_16S rRNA;SAMN12249223
B106_16S rRNA;SAMN12249222
B107_16S rRNA;SAMN12249221
B108_16S rRNA;SAMN12249220
B138_16S rRNA;SAMN12249219
B139_16S rRNA;SAMN12249218
B14_16S rRNA;SAMN12249217
B141_16S rRNA;SAMN12249216
B142_16S rRNA;SAMN12249215
B143_16S rRNA;SAMN12249214
B144_16S rRNA;SAMN12249213
B145_16S rRNA;SAMN12249212
B147_16S rRNA;SAMN12249211
B148_16S rRNA;SAMN12249210
B149_16S rRNA;SAMN12249209
B15_16S rRNA;SAMN12249208
B150_16S rRNA;SAMN12249207
B71_16S rRNA;SAMN12249206
B72_16S rRNA;SAMN12249205
B73_16S rRNA;SAMN12249204
A8_16S rRNA;SAMN12249203
A80_16S rRNA;SAMN12249202
A82_16S rRNA;SAMN12249201
A83_16S rRNA;SAMN12249200
A84_16S rRNA;SAMN12249199
A85_16S rRNA;SAMN12249198
A86_16S rRNA;SAMN12249197
A87_16S rRNA;SAMN12249196
A88_16S rRNA;SAMN12249195
A89_16S rRNA;SAMN12249194
A9_16S rRNA;SAMN12249193
A90_16S rRNA;SAMN12249192
A91_16S rRNA;SAMN12249191
A92_16S rRNA;SAMN12249190
A93_16S rRNA;SAMN12249189
A95_16S rRNA;SAMN12249188
A97_16S rRNA;SAMN12249187
A99_16S rRNA;SAMN12249186
B1_16S rRNA;SAMN12249185
B10_16S rRNA;SAMN12249184
B100_16S rRNA;SAMN12249183
B101_16S rRNA;SAMN12249182
B103_16S rRNA;SAMN12249181
B104_16S rRNA;SAMN12249180
B105_16S rRNA;SAMN12249179
A70_16S rRNA;SAMN12249178
A71_16S rRNA;SAMN12249177
A72_16S rRNA;SAMN12249176
A76_16S rRNA;SAMN12249175
A77_16S rRNA;SAMN12249174
A78_16S rRNA;SAMN12249173
B44_16S rRNA;SAMN12249172
B45_16S rRNA;SAMN12249171
B49_16S rRNA;SAMN12249170
B5_16S rRNA;SAMN12249169
B50_16S rRNA;SAMN12249168
B51_16S rRNA;SAMN12249167
B46_16S rRNA;SAMN12249166
B48_16S rRNA;SAMN12249165
B52_16S rRNA;SAMN12249164
B54_16S rRNA;SAMN12249163
B55_16S rRNA;SAMN12249162
B56_16S rRNA;SAMN12249161
B57_16S rRNA;SAMN12249160
B58_16S rRNA;SAMN12249159
B59_16S rRNA;SAMN12249158
B6_16S rRNA;SAMN12249157
B60_16S rRNA;SAMN12249156
B61_16S rRNA;SAMN12249155
B62_16S rRNA;SAMN12249154
B63_16S rRNA;SAMN12249153
B64_16S rRNA;SAMN12249152
B66_16S rRNA;SAMN12249151
B67_16S rRNA;SAMN12249150
B68_16S rRNA;SAMN12249149
B7_16S rRNA;SAMN12249148
B70_16S rRNA;SAMN12249147
A50_16S rRNA;SAMN12249146
A51_16S rRNA;SAMN12249145
A52_16S rRNA;SAMN12249144
A53_16S rRNA;SAMN12249143
A54_16S rRNA;SAMN12249142
A55_16S rRNA;SAMN12249141
A57_16S rRNA;SAMN12249140
A58_16S rRNA;SAMN12249139
A59_16S rRNA;SAMN12249138
A6_16S rRNA;SAMN12249137
A60_16S rRNA;SAMN12249136
A61_16S rRNA;SAMN12249135
A62_16S rRNA;SAMN12249134
A63_16S rRNA;SAMN12249133
A65_16S rRNA;SAMN12249132
A66_16S rRNA;SAMN12249131
A67_16S rRNA;SAMN12249130
A68_16S rRNA;SAMN12249129
A73_16S rRNA;SAMN12249128
A75_16S rRNA;SAMN12249127
A69_16S rRNA;SAMN12249126
A7_16S rRNA;SAMN12249125
