Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue
SRR9666721,OTHER,252,15237278,PRJNA453621,SAMN12249383,6101654,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427427,GSM3936518,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:31:00Z,1,GSM3936518,Feces,SRP142644,human fecal tissue
SRR9666726,OTHER,252,13587850,PRJNA453621,SAMN12249410,5643647,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427432,GSM3936523,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:35:00Z,1,GSM3936523,Feces,SRP142644,human fecal tissue
SRR9666779,OTHER,252,17713595,PRJNA453621,SAMN12249302,7664281,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427517,GSM3936576,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936576,Feces,SRP142644,human fecal tissue
SRR9666825,OTHER,252,17507644,PRJNA453621,SAMN12249139,7461662,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427611,GSM3936622,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936622,Feces,SRP142644,human fecal tissue
SRR9666836,OTHER,252,13656789,PRJNA453621,SAMN12249126,5676421,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427638,GSM3936633,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936633,Feces,SRP142644,human fecal tissue
SRR9666844,OTHER,252,12656235,PRJNA453621,SAMN12249174,5088899,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427646,GSM3936641,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936641,Feces,SRP142644,human fecal tissue
SRR9666845,OTHER,252,11049715,PRJNA453621,SAMN12249173,4620241,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427647,GSM3936642,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936642,Feces,SRP142644,human fecal tissue
SRR9666870,OTHER,252,14667520,PRJNA453621,SAMN12249179,6054095,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",autism spectrum disorder,SRX6427702,GSM3936667,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:34:00Z,1,GSM3936667,Feces,SRP142644,human fecal tissue
SRR9666881,OTHER,252,12645250,PRJNA453621,SAMN12249335,5134528,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",autism spectrum disorder,SRX6427459,GSM3936678,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:29:00Z,1,GSM3936678,Feces,SRP142644,human fecal tissue
SRR9666898,OTHER,252,12903438,PRJNA453621,SAMN12249370,5382525,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",autism spectrum disorder,SRX6427492,GSM3936695,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:29:00Z,1,GSM3936695,Feces,SRP142644,human fecal tissue
SRR9666905,OTHER,252,13564568,PRJNA453621,SAMN12249216,5672568,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",autism spectrum disorder,SRX6427499,GSM3936702,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:48:00Z,1,GSM3936702,Feces,SRP142644,human fecal tissue
SRR9666913,OTHER,252,13483619,PRJNA453621,SAMN12249208,5975712,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",autism spectrum disorder,SRX6427523,GSM3936710,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:48:00Z,1,GSM3936710,Feces,SRP142644,human fecal tissue
SRR9666962,OTHER,252,14560626,PRJNA453621,SAMN12249169,6052370,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",autism spectrum disorder,SRX6427620,GSM3936759,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:34:00Z,1,GSM3936759,Feces,SRP142644,human fecal tissue
