run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
ERR5263100	SAMEA7872069	ERX5053436	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263100/ERR5263100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263100/ERR5263100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263100/stool.ASD.1.1_44_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263100/stool.ASD.1.1_44_L001_R2_001.fastq.gz		stool.ASD.1.1	stool.ASD.1.1
ERR5263103	SAMEA7872084	ERX5053439	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263103/ERR5263103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263103/ERR5263103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263103/stool.ASD.12.2.ASU_3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263103/stool.ASD.12.2.ASU_3_L001_R2_001.fastq.gz		stool.ASD.12.2.ASU	stool.ASD.12.2.ASU
ERR5263105	SAMEA7872089	ERX5053441	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263105/ERR5263105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263105/ERR5263105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263105/stool.ASD.14.2_35_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263105/stool.ASD.14.2_35_L001_R2_001.fastq.gz		stool.ASD.14.2	stool.ASD.14.2
ERR5263107	SAMEA7872091	ERX5053443	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263107/ERR5263107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263107/ERR5263107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263107/stool.ASD.14.4_10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263107/stool.ASD.14.4_10_L001_R2_001.fastq.gz		stool.ASD.14.4	stool.ASD.14.4
ERR5263108	SAMEA7872092	ERX5053444	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263108/ERR5263108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263108/ERR5263108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263108/stool.ASD.14.4.ASU_5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263108/stool.ASD.14.4.ASU_5_L001_R2_001.fastq.gz		stool.ASD.14.4.ASU	stool.ASD.14.4.ASU
ERR5263109	SAMEA7872099	ERX5053445	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263109/ERR5263109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263109/ERR5263109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263109/stool.ASD.19.1_33_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263109/stool.ASD.19.1_33_L001_R2_001.fastq.gz		stool.ASD.19.1	stool.ASD.19.1
ERR5263112	SAMEA7872102	ERX5053448	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263112/ERR5263112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263112/ERR5263112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263112/stool.ASD.22.3_1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263112/stool.ASD.22.3_1_L001_R2_001.fastq.gz		stool.ASD.22.3	stool.ASD.22.3
ERR5263114	SAMEA7872104	ERX5053450	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263114/ERR5263114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263114/ERR5263114_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263114/stool.ASD.22.4.ASU_12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263114/stool.ASD.22.4.ASU_12_L001_R2_001.fastq.gz		stool.ASD.22.4.ASU	stool.ASD.22.4.ASU
ERR5263115	SAMEA7872105	ERX5053451	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263115/ERR5263115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263115/ERR5263115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263115/stool.ASD.24.1_52_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263115/stool.ASD.24.1_52_L001_R2_001.fastq.gz		stool.ASD.24.1	stool.ASD.24.1
ERR5263116	SAMEA7872106	ERX5053452	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263116/ERR5263116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263116/ERR5263116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263116/stool.ASD.24.1.ASU_8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263116/stool.ASD.24.1.ASU_8_L001_R2_001.fastq.gz		stool.ASD.24.1.ASU	stool.ASD.24.1.ASU
ERR5263117	SAMEA7872107	ERX5053453	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263117/ERR5263117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263117/ERR5263117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263117/stool.ASD.24.2_25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263117/stool.ASD.24.2_25_L001_R2_001.fastq.gz		stool.ASD.24.2	stool.ASD.24.2
ERR5263121	SAMEA7872113	ERX5053457	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263121/ERR5263121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263121/ERR5263121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263121/stool.ASD.27.4_19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263121/stool.ASD.27.4_19_L001_R2_001.fastq.gz		stool.ASD.27.4	stool.ASD.27.4
ERR5263123	SAMEA7872115	ERX5053459	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263123/ERR5263123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263123/ERR5263123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263123/stool.ASD.27.5_15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263123/stool.ASD.27.5_15_L001_R2_001.fastq.gz		stool.ASD.27.5	stool.ASD.27.5
ERR5263124	SAMEA7872070	ERX5053460	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263124/ERR5263124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263124/ERR5263124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263124/stool.ASD.3.1A_31_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263124/stool.ASD.3.1A_31_L001_R2_001.fastq.gz		stool.ASD.3.1A	stool.ASD.3.1A
ERR5263128	SAMEA7872074	ERX5053464	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263128/ERR5263128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263128/ERR5263128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263128/stool.ASD.6.2_10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263128/stool.ASD.6.2_10_L001_R2_001.fastq.gz		stool.ASD.6.2	stool.ASD.6.2
ERR5263130	SAMEA7872076	ERX5053466	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263130/ERR5263130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263130/ERR5263130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263130/stool.ASD.7.1_18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263130/stool.ASD.7.1_18_L001_R2_001.fastq.gz		stool.ASD.7.1	stool.ASD.7.1
ERR5263135	SAMEA7872081	ERX5053471	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263135/ERR5263135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263135/ERR5263135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263135/stool.ASD.8.1_9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263135/stool.ASD.8.1_9_L001_R2_001.fastq.gz		stool.ASD.8.1	stool.ASD.8.1
ERR5263136	SAMEA7872085	ERX5053472	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263136/ERR5263136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263136/ERR5263136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263136/stool.control.13S.1A_38_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263136/stool.control.13S.1A_38_L001_R2_001.fastq.gz		stool.control.13S.1A	stool.control.13S.1A
ERR5263137	SAMEA7872086	ERX5053473	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263137/ERR5263137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263137/ERR5263137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263137/stool.control.13S.1B_15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263137/stool.control.13S.1B_15_L001_R2_001.fastq.gz		stool.control.13S.1B	stool.control.13S.1B
