Run,sample_title
ERR5263100,stool.ASD.1.1
ERR5263103,stool.ASD.12.2.ASU
ERR5263105,stool.ASD.14.2
ERR5263107,stool.ASD.14.4
ERR5263108,stool.ASD.14.4.ASU
ERR5263109,stool.ASD.19.1
ERR5263112,stool.ASD.22.3
ERR5263114,stool.ASD.22.4.ASU
ERR5263115,stool.ASD.24.1
ERR5263116,stool.ASD.24.1.ASU
ERR5263117,stool.ASD.24.2
ERR5263121,stool.ASD.27.4
ERR5263123,stool.ASD.27.5
ERR5263124,stool.ASD.3.1A
ERR5263128,stool.ASD.6.2
ERR5263130,stool.ASD.7.1
ERR5263135,stool.ASD.8.1
ERR5263136,stool.control.13S.1A
ERR5263137,stool.control.13S.1B
ERR5263138,stool.control.13S.2
ERR5263140,stool.control.15S.2
ERR5263147,stool.control.28S.2
ERR5263148,stool.control.28S.3
ERR5263151,stool.control.30C.3
ERR5263154,stool.control.31C.1
ERR5263156,stool.control.31C.3
ERR5263158,stool.control.32C.1.ASU
ERR5263159,stool.control.32C.2A
ERR5263161,stool.control.32C.3
ERR5263165,stool.control.36C.1
ERR5263166,stool.control.37C.1
ERR5263168,stool.control.38C.2A
ERR5263170,stool.control.39C.1
ERR5263172,stool.control.39C.3
ERR5263173,stool.control.39C.4
ERR5263174,stool.control.40C.1
ERR5263175,stool.control.40C.2
ERR5263101,stool.ASD.12.1
ERR5263102,stool.ASD.12.2
ERR5263104,stool.ASD.14.1
ERR5263106,stool.ASD.14.3
ERR5263110,stool.ASD.22.1
ERR5263111,stool.ASD.22.2
ERR5263113,stool.ASD.22.4
ERR5263118,stool.ASD.25.2
ERR5263119,stool.ASD.27.1
ERR5263120,stool.ASD.27.2
ERR5263122,stool.ASD.27.4.ASU
ERR5263125,stool.ASD.3.1B
ERR5263126,stool.ASD.4.1
ERR5263127,stool.ASD.6.1
ERR5263129,stool.ASD.6.4
ERR5263131,stool.ASD.7.2
ERR5263132,stool.ASD.7.3
ERR5263133,stool.ASD.7.4
ERR5263134,stool.ASD.7.4.ASU
ERR5263139,stool.control.15S.1
ERR5263141,stool.control.15S.3
ERR5263142,stool.control.15S.4
ERR5263143,stool.control.15S.4.ASU
ERR5263144,stool.control.18S.1
ERR5263145,stool.control.26S.1
ERR5263146,stool.control.26S.1.ASU
ERR5263149,stool.control.29C.1
ERR5263150,stool.control.30C.1
ERR5263152,stool.control.30C.4
ERR5263153,stool.control.30C.5
ERR5263155,stool.control.31C.2
ERR5263157,stool.control.32C.1
ERR5263160,stool.control.32C.2B
ERR5263162,stool.control.34C.1
ERR5263163,stool.control.35C.1A
ERR5263164,stool.control.35C.1B
ERR5263167,stool.control.38C.1.ASU
ERR5263169,stool.control.38C.2B
ERR5263171,stool.control.39C.2
ERR5263176,stool.control.40C.4
ERR5263177,stool.control.40C.5
