Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10305328,AMPLICON,602,34171928,PRJNA578223,SAMN13053192,Metagenome or environmental,18648723,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7016741,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case48,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T02:59:00Z,1,human gut microbiota of children,SRP226142
SRR10305329,AMPLICON,602,36186822,PRJNA578223,SAMN13053192,Metagenome or environmental,20222352,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7016740,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case47,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:00:00Z,1,human gut microbiota of children,SRP226142
SRR10305330,AMPLICON,602,35014126,PRJNA578223,SAMN13053192,Metagenome or environmental,19362684,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7016739,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case46,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:00:00Z,1,human gut microbiota of children,SRP226142
SRR10305331,AMPLICON,602,25248482,PRJNA578223,SAMN13053192,Metagenome or environmental,14309401,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016738,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case45,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:01:00Z,1,human gut microbiota of children,SRP226142
SRR10305332,AMPLICON,602,27857550,PRJNA578223,SAMN13053192,Metagenome or environmental,15568478,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7016737,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case44,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:01:00Z,1,human gut microbiota of children,SRP226142
SRR10305333,AMPLICON,602,33721030,PRJNA578223,SAMN13053192,Metagenome or environmental,18773519,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7016736,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case43,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:02:00Z,1,human gut microbiota of children,SRP226142
SRR10305334,AMPLICON,556,43034980,PRJNA578223,SAMN13053192,Metagenome or environmental,24703573,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016735,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,control10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:02:00Z,1,human gut microbiota of children,SRP226142
SRR10305335,AMPLICON,602,37207212,PRJNA578223,SAMN13053192,Metagenome or environmental,20954591,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7016734,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case42,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:02:00Z,1,human gut microbiota of children,SRP226142
SRR10305336,AMPLICON,602,38591812,PRJNA578223,SAMN13053192,Metagenome or environmental,21344060,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7016733,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case41,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:02:00Z,1,human gut microbiota of children,SRP226142
SRR10305337,AMPLICON,602,44565458,PRJNA578223,SAMN13053192,Metagenome or environmental,24986098,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7016732,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case40,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:03:00Z,1,human gut microbiota of children,SRP226142
